epoch,train_accuracy,test_accuracy,train_loss,test_loss
1,16.075,15.69,2.3424568649291992,2.2835947036743165
2,21.703333333333333,21.74,2.237828837712606,2.1907294034957885
3,27.455,27.99,2.154993793741862,2.1122493028640745
4,33.69166666666667,34.57,2.0825394142150877,2.0421374797821046
5,40.27166666666667,41.45,2.016695899899801,1.9777519226074218
6,46.53333333333333,47.67,1.9555875067392985,1.9174896478652954
7,51.92333333333333,52.72,1.8979932889938353,1.8604809284210204
8,56.248333333333335,56.72,1.8433277593612671,1.8061834692955017
9,59.82833333333333,60.27,1.791083895111084,1.7542319774627686
10,62.666666666666664,63.47,1.7411237095514933,1.7045762896537782
11,65.02166666666666,65.79,1.6932620304743449,1.6569557905197143
12,67.08833333333334,67.88,1.6474073741912842,1.611410915851593
13,68.71166666666667,69.36,1.6035478411356607,1.5678753495216369
14,70.14,70.8,1.5616179250081381,1.526467251777649
15,71.37,72.04,1.5217383093516033,1.487091886997223
16,72.43333333333334,73.06,1.483796002070109,1.4496919751167296
17,73.38,73.97,1.4478153667449951,1.414294147491455
18,74.26166666666667,74.8,1.4137202281316121,1.3807929873466491
19,75.005,75.56,1.3814978361765544,1.3491865158081056
20,75.63,76.24,1.351032706006368,1.319320285320282
21,76.21833333333333,76.76,1.3223055681228637,1.2911789536476135
22,76.80666666666667,77.4,1.2952789222717285,1.2648054003715514
23,77.28333333333333,77.84,1.2698836477915445,1.239852237701416
24,77.68333333333334,78.27,1.2458887259801228,1.2164260149002075
25,78.12333333333333,78.62,1.2233147294362385,1.1942673444747924
26,78.55833333333334,79.03,1.2020089615503946,1.173550260066986
27,78.92,79.34,1.1820081197102865,1.15393106341362
28,79.285,79.65,1.1632199061075847,1.135622501373291
29,79.56,80.1,1.1455003165562947,1.1183748066425323
30,79.82666666666667,80.3,1.1288853921254476,1.1021088302135467
