epoch,train_accuracy,test_accuracy,train_loss,test_loss
1,92.575,91.84,0.7396365056991577,0.27120533138513564
2,94.99833333333333,93.68,0.21053520918885868,0.212494920194149
3,96.22666666666667,94.94,0.1640169309536616,0.17755592316389085
4,96.53166666666667,95.3,0.13737402731850742,0.17328217551112174
5,96.87,95.28,0.12227280308355888,0.17140481173992156
6,96.70166666666667,95.19,0.10837688613583644,0.1811470568180084
7,97.35,95.71,0.09711454784323771,0.16139181554317475
8,97.37833333333333,95.74,0.08756291135201852,0.1660990260541439
9,97.93666666666667,95.66,0.08128855629488826,0.15829798355698585
10,97.65666666666667,95.36,0.07531984083180626,0.17505232021212577
11,98.04166666666667,95.8,0.06894469503872097,0.16135767251253127
12,98.33166666666666,95.83,0.062427829051204024,0.15949867889285088
13,98.25666666666666,95.91,0.05852854981273413,0.16854348219931126
14,98.36166666666666,95.74,0.055030063378624615,0.17099449932575225
15,98.81,95.98,0.04975117627903819,0.17221846655011178
16,98.51,95.91,0.04740585621539503,0.17371481880545617
17,98.995,96.33,0.04348784698359668,0.16362997144460678
18,98.69333333333333,95.92,0.04127487038212518,0.17828997299075128
19,98.955,95.98,0.038484464559393625,0.1791902370750904
20,99.13166666666666,96.12,0.035678233316230275,0.1721229899674654
