epoch,train_accuracy,test_accuracy,train_loss,test_loss
1,92.47333333333333,92.13,0.9469886974255244,0.2664926156401634
2,94.13166666666666,93.49,0.2449592305411895,0.2272280052304268
3,94.89333333333333,94.02,0.19829712800979615,0.20449265278875828
4,94.91833333333334,93.85,0.17278985282878082,0.20847299695014954
5,95.53833333333333,94.14,0.15378871339559555,0.20437217280268669
6,96.51166666666667,95.3,0.13953895570536454,0.17089061066508293
7,96.585,95.26,0.12900624093761046,0.17073248252272605
8,96.29333333333334,95.12,0.11810499635835489,0.18412255123257637
9,96.93833333333333,95.49,0.1093718547453483,0.1693863369524479
10,97.46333333333334,95.56,0.10267829452852408,0.16371102631092072
11,97.46333333333334,95.77,0.09524034694433212,0.17161757461726665
12,97.48166666666667,96.04,0.08880882694671552,0.17268850319087506
13,97.76166666666667,95.65,0.08516452600732445,0.16800122261047362
14,97.66833333333334,95.83,0.07945657395472129,0.17184577956795694
15,97.33333333333333,95.47,0.07439278176377218,0.17942310273647308
16,98.2,96.02,0.07162299838835995,0.1701559964567423
17,98.23,96.05,0.06657767517442505,0.17447276711463927
18,97.95666666666666,95.49,0.06458059912348788,0.19092205837368964
19,98.35833333333333,96.05,0.062193759358674286,0.17932758294045925
20,98.52833333333334,96.01,0.059175609148914614,0.1779964819550514
