epoch,train_accuracy,test_accuracy,train_loss,test_loss
1,92.92166666666667,92.57,0.6414750825842221,0.2719285413622856
2,94.29666666666667,93.2,0.21901259772380194,0.2369980677962303
3,95.78,94.71,0.17564097309410573,0.19330443888902665
4,96.03,94.64,0.14950225272774698,0.20205282121896745
5,96.31333333333333,94.93,0.13209051229755084,0.19227322041988373
6,97.11333333333333,95.53,0.12003988483349483,0.16967652589082718
7,97.205,95.54,0.10870736136560638,0.16970955431461335
8,97.44333333333333,95.64,0.10135366993695498,0.17671071067452432
9,97.295,95.36,0.09314451881349087,0.17512148544192313
10,97.88333333333334,95.83,0.08716410851900776,0.16894638612866403
